ID,frequency,cue,target,Acc,RT_corr,RT_corr_median,N
5,7,upper,congLeft,1,0.491036666666667,0.491925,6
5,7,upper,congRight,1,0.439714166666667,0.4495875,6
5,7,upper,incongLeft,0.833333333333333,0.596908,0.55734,5
5,7,upper,incongRight,1,0.539505,0.5156325,6
6,0,blank,congLeft,1,0.475008333333333,0.45812,12
6,0,blank,congRight,1,0.446428333333333,0.4225,12
6,0,blank,incongLeft,1,0.554213125,0.5634625,8
6,0,blank,incongRight,0.833333333333333,0.544232,0.55191,10
6,0,centre,congLeft,1,0.4120125,0.40857,12
6,0,centre,congRight,1,0.415359166666667,0.40907,12
6,0,centre,incongLeft,0.916666666666667,0.514220909090909,0.514675,11
6,0,centre,incongRight,1,0.517652777777778,0.499315,9
6,0,lower,congLeft,1,0.404649166666667,0.4015,6
6,0,lower,congRight,1,0.38568,0.3854175,6
6,0,lower,incongLeft,1,0.453854166666667,0.4574225,6
6,0,lower,incongRight,1,0.438245833333333,0.4391525,6
6,0,upper,congLeft,1,0.36247,0.36279,6
6,0,upper,congRight,1,0.345675833333333,0.33569,6
6,0,upper,incongLeft,1,0.409375833333333,0.4101675,6
6,0,upper,incongRight,1,0.499813333333333,0.46775,6
6,4,blank,congLeft,1,0.437584583333333,0.432155,12
6,4,blank,congRight,1,0.461177083333333,0.46892,12
6,4,blank,incongLeft,0.909090909090909,0.540012,0.5293075,10
6,4,blank,incongRight,1,0.5481235,0.5448825,10
6,4,centre,congLeft,1,0.4289875,0.4307375,12
6,4,centre,congRight,1,0.399795833333333,0.3917625,12
6,4,centre,incongLeft,0.916666666666667,0.517930454545454,0.523915,11
6,4,centre,incongRight,1,0.526441666666667,0.525665,12
6,4,lower,congLeft,1,0.361378333333333,0.360485,6
6,4,lower,congRight,1,0.3593,0.3625475,6
6,4,lower,incongLeft,1,0.419356,0.41908,5
6,4,lower,incongRight,1,0.459524166666667,0.428655,6
6,4,upper,congLeft,1,0.361045833333333,0.3629575,6
6,4,upper,congRight,1,0.3505125,0.3532825,6
6,4,upper,incongLeft,1,0.412435,0.4019375,6
6,4,upper,incongRight,1,0.451236666666667,0.443255,6
6,7,blank,congLeft,1,0.46275125,0.44776,12
6,7,blank,congRight,1,0.439534166666667,0.446685,12
6,7,blank,incongLeft,0.9,0.517211111111111,0.52898,9
6,7,blank,incongRight,1,0.540787083333333,0.54121,12
6,7,centre,congLeft,1,0.3998,0.4145825,12
6,7,centre,congRight,1,0.412181666666667,0.41481,12
6,7,centre,incongLeft,0.583333333333333,0.503229285714286,0.505335,7
6,7,centre,incongRight,1,0.49337875,0.50278,12
6,7,lower,congLeft,1,0.376284166666667,0.3893425,6
6,7,lower,congRight,1,0.373094166666667,0.3733975,6
6,7,lower,incongLeft,1,0.448216,0.451275,5
6,7,lower,incongRight,1,0.448485833333333,0.44669,6
6,7,upper,congLeft,1,0.3649,0.3599625,6
6,7,upper,congRight,1,0.347173333333333,0.347085,6
6,7,upper,incongLeft,1,0.427528333333333,0.4294975,6
6,7,upper,incongRight,0.833333333333333,0.4013,0.396615,5
7,0,blank,congLeft,1,0.522936818181818,0.50429,11
7,0,blank,congRight,1,0.478124090909091,0.460555,11
7,0,blank,incongLeft,0.9,0.612358333333333,0.611075,9
7,0,blank,incongRight,1,0.594234,0.5873975,10
7,0,centre,congLeft,1,0.472560416666667,0.4789425,12
7,0,centre,congRight,1,0.4698875,0.45447,12
7,0,centre,incongLeft,1,0.6362355,0.62357,10
7,0,centre,incongRight,1,0.626687083333333,0.64485,12
7,0,lower,congLeft,1,0.413289166666667,0.40976,6
7,0,lower,congRight,1,0.47905,0.460705,6
7,0,lower,incongLeft,1,0.615414166666667,0.5948525,6
7,0,lower,incongRight,1,0.5790025,0.5458925,6
7,0,upper,congLeft,1,0.433529166666667,0.438335,6
7,0,upper,congRight,1,0.430120833333333,0.430195,6
7,0,upper,incongLeft,1,0.514140833333333,0.5152925,6
7,0,upper,incongRight,1,0.487103333333333,0.514515,6
7,4,blank,congLeft,1,0.499198333333333,0.4710025,12
7,4,blank,congRight,1,0.502985,0.48986,12
7,4,blank,incongLeft,0.916666666666667,0.655247727272727,0.633665,11
7,4,blank,incongRight,1,0.598561666666667,0.5955825,12
7,4,centre,congLeft,1,0.484771666666667,0.4842625,12
7,4,centre,congRight,1,0.490519166666667,0.47508,12
7,4,centre,incongLeft,1,0.629077916666667,0.629185,12
7,4,centre,incongRight,1,0.614189090909091,0.630525,11
7,4,lower,congLeft,1,0.464561666666667,0.44984,6
7,4,lower,congRight,1,0.4664425,0.4444975,6
7,4,lower,incongLeft,1,0.588739166666667,0.573715,6
7,4,lower,incongRight,1,0.643765,0.695815,5
7,4,upper,congLeft,1,0.4193675,0.403505,6
7,4,upper,congRight,1,0.436,0.4164775,6
7,4,upper,incongLeft,1,0.4942225,0.4753775,6
7,4,upper,incongRight,1,0.5822275,0.5383675,6
7,7,blank,congLeft,1,0.521295416666667,0.53785,12
7,7,blank,congRight,1,0.51841625,0.5135375,12
7,7,blank,incongLeft,1,0.6475945,0.6315075,10
7,7,blank,incongRight,1,0.637044583333333,0.6360775,12
7,7,centre,congLeft,1,0.48612625,0.48186,12
7,7,centre,congRight,1,0.505557916666667,0.46976,12
7,7,centre,incongLeft,1,0.610437083333333,0.6081625,12
7,7,centre,incongRight,1,0.642362272727273,0.63232,11
7,7,lower,congLeft,1,0.474688333333333,0.4547375,6
7,7,lower,congRight,1,0.456713333333333,0.42879,6
7,7,lower,incongLeft,1,0.621066,0.65061,5
7,7,lower,incongRight,1,0.555403,0.497105,5
7,7,upper,congLeft,1,0.44914,0.451165,6
7,7,upper,congRight,1,0.38675,0.391405,6
7,7,upper,incongLeft,1,0.500321666666667,0.5067575,6
7,7,upper,incongRight,0.833333333333333,0.527745,0.47643,5
8,0,blank,congLeft,1,0.553997727272727,0.5503,11
8,0,blank,congRight,1,0.5389375,0.5337525,12
8,0,blank,incongLeft,1,0.615467727272727,0.617105,11
8,0,blank,incongRight,1,0.591664545454545,0.58713,11
8,0,centre,congLeft,1,0.485017083333333,0.4861325,12
8,0,centre,congRight,1,0.510553333333333,0.51313,12
8,0,centre,incongLeft,0.909090909090909,0.581379,0.58133,10
8,0,centre,incongRight,0.916666666666667,0.596941363636364,0.59189,11
8,0,lower,congLeft,1,0.461601666666667,0.4704325,6
8,0,lower,congRight,1,0.4371875,0.4172125,6
8,0,lower,incongLeft,1,0.540063333333333,0.5388375,6
8,0,lower,incongRight,0.833333333333333,0.537769,0.504475,5
8,0,upper,congLeft,1,0.501231666666667,0.49199,6
8,0,upper,congRight,1,0.530638333333333,0.4855125,6
8,0,upper,incongLeft,1,0.516513333333333,0.51266,6
8,0,upper,incongRight,1,0.558770833333333,0.5379575,6
8,4,blank,congLeft,0.916666666666667,0.529794545454546,0.51704,11
8,4,blank,congRight,1,0.51957625,0.5143475,12
8,4,blank,incongLeft,1,0.578518181818182,0.608945,11
8,4,blank,incongRight,1,0.563078636363636,0.554205,11
8,4,centre,congLeft,1,0.477514583333333,0.48757,12
8,4,centre,congRight,1,0.4732625,0.454715,12
8,4,centre,incongLeft,1,0.578613636363636,0.577135,11
8,4,centre,incongRight,1,0.596024583333333,0.609135,12
8,4,lower,congLeft,1,0.454256666666667,0.42495,6
8,4,lower,congRight,1,0.404075,0.4077375,6
8,4,lower,incongLeft,0.833333333333333,0.522017,0.55425,5
8,4,lower,incongRight,1,0.561855,0.52366,5
8,4,upper,congLeft,1,0.442359166666667,0.44498,6
8,4,upper,congRight,1,0.453600833333333,0.454925,6
8,4,upper,incongLeft,1,0.514360833333333,0.4956775,6
8,4,upper,incongRight,0.833333333333333,0.516539,0.5239,5
8,7,blank,congLeft,1,0.514973333333333,0.5158975,12
8,7,blank,congRight,1,0.5159275,0.5178125,12
8,7,blank,incongLeft,1,0.586253181818182,0.585765,11
8,7,blank,incongRight,1,0.571373333333333,0.560375,12
8,7,centre,congLeft,1,0.470222727272727,0.471415,11
8,7,centre,congRight,1,0.48970625,0.4680575,12
8,7,centre,incongLeft,1,0.559695833333333,0.5432075,12
8,7,centre,incongRight,1,0.549855,0.53863,11
8,7,lower,congLeft,1,0.456626666666667,0.4523775,6
8,7,lower,congRight,1,0.423994166666667,0.4299975,6
8,7,lower,incongLeft,0.666666666666667,0.541305,0.5342125,4
8,7,lower,incongRight,0.833333333333333,0.517492,0.49198,5
8,7,upper,congLeft,0.833333333333333,0.447683,0.43336,5
8,7,upper,congRight,1,0.41877,0.4204,5
8,7,upper,incongLeft,1,0.53348,0.532185,6
8,7,upper,incongRight,1,0.568804166666667,0.5657,6
9,0,blank,congLeft,1,0.702000416666667,0.68035,12
9,0,blank,congRight,1,0.697527727272727,0.66787,11
9,0,blank,incongLeft,1,0.869485833333333,0.832155,12
9,0,blank,incongRight,1,0.8451,0.81529,11
9,0,centre,congLeft,1,0.613902083333333,0.6308025,12
9,0,centre,congRight,1,0.64369875,0.6461575,12
9,0,centre,incongLeft,1,0.840142272727273,0.833005,11
9,0,centre,incongRight,0.875,0.869461428571429,0.849325,7
9,0,lower,congLeft,1,0.569305,0.5290825,6
9,0,lower,congRight,1,0.5300175,0.5098975,6
9,0,lower,incongLeft,1,0.76089,0.7249825,6
9,0,lower,incongRight,1,0.76557,0.75074,5
9,0,upper,congLeft,1,0.5762375,0.5705,6
9,0,upper,congRight,1,0.544754166666667,0.54087,6
9,0,upper,incongLeft,1,0.752335833333333,0.71625,6
9,0,upper,incongRight,0.8,0.75172125,0.73182,4
9,4,blank,congLeft,1,0.664056666666667,0.6525475,12
9,4,blank,congRight,1,0.687671666666667,0.6793875,12
9,4,blank,incongLeft,0.9,0.815336111111111,0.752605,9
9,4,blank,incongRight,1,0.80411125,0.79688,12
9,4,centre,congLeft,1,0.6079875,0.6376,12
9,4,centre,congRight,1,0.664971363636364,0.623925,11
9,4,centre,incongLeft,1,0.827945833333333,0.8028225,12
9,4,centre,incongRight,1,0.812100833333333,0.80365,12
9,4,lower,congLeft,1,0.555206666666667,0.560695,6
9,4,lower,congRight,1,0.564071666666667,0.5491825,6
9,4,lower,incongLeft,1,0.6254625,0.6334025,6
9,4,lower,incongRight,1,0.815968333333333,0.7949375,6
9,4,upper,congLeft,1,0.546934166666667,0.5236575,6
9,4,upper,congRight,1,0.521035,0.5303125,6
9,4,upper,incongLeft,1,0.720885,0.68139,5
9,4,upper,incongRight,1,0.689316666666667,0.68863,6
9,7,blank,congLeft,1,0.6478495,0.64035,10
9,7,blank,congRight,1,0.670272272727273,0.69086,11
9,7,blank,incongLeft,1,0.84061,0.803205,11
9,7,blank,incongRight,0.909090909090909,0.851666,0.8337825,10
9,7,centre,congLeft,1,0.6464075,0.6475825,12
9,7,centre,congRight,1,0.642459583333333,0.6337525,12
9,7,centre,incongLeft,0.909090909090909,0.7545835,0.7415475,10
9,7,centre,incongRight,0.888888888888889,0.7412325,0.74211,8
9,7,lower,congLeft,1,0.582291666666667,0.555065,6
9,7,lower,congRight,1,0.585663333333333,0.5576,6
9,7,lower,incongLeft,1,0.665215,0.6536925,6
9,7,lower,incongRight,1,0.696464166666667,0.68541,6
9,7,upper,congLeft,1,0.533264166666667,0.534875,6
9,7,upper,congRight,1,0.5725975,0.53001,6
9,7,upper,incongLeft,1,0.673755833333333,0.673235,6
9,7,upper,incongRight,1,0.641224166666667,0.6685025,6
10,0,blank,congLeft,1,0.436480416666667,0.438845,12
10,0,blank,congRight,1,0.431408181818182,0.434995,11
10,0,blank,incongLeft,0.909090909090909,0.534599,0.542865,10
10,0,blank,incongRight,0.818181818181818,0.546833333333333,0.55408,9
10,0,centre,congLeft,1,0.43027625,0.42562,12
10,0,centre,congRight,1,0.427249166666667,0.42012,12
10,0,centre,incongLeft,0.833333333333333,0.5251245,0.523565,10
10,0,centre,incongRight,0.909090909090909,0.5227795,0.5182175,10
10,0,lower,congLeft,1,0.3895275,0.386045,6
10,0,lower,congRight,1,0.3684775,0.3696825,6
10,0,lower,incongLeft,1,0.485243333333333,0.4759375,6
10,0,lower,incongRight,1,0.463289166666667,0.4648625,6
10,0,upper,congLeft,1,0.381808333333333,0.3869325,6
10,0,upper,congRight,1,0.395985,0.3918525,6
10,0,upper,incongLeft,0.833333333333333,0.434018,0.43005,5
10,0,upper,incongRight,1,0.4353725,0.424715,6
10,4,blank,congLeft,1,0.455950833333333,0.4539175,12
10,4,blank,congRight,1,0.442130833333333,0.42772,12
10,4,blank,incongLeft,0.909090909090909,0.5503625,0.5599375,10
10,4,blank,incongRight,0.909090909090909,0.5501815,0.5523825,10
10,4,centre,congLeft,1,0.427251666666667,0.4310475,12
10,4,centre,congRight,1,0.437003333333333,0.4266125,12
10,4,centre,incongLeft,0.7,0.550919285714286,0.54933,7
10,4,centre,incongRight,0.909090909090909,0.527841,0.51952,10
10,4,lower,congLeft,1,0.380716666666667,0.3847675,6
10,4,lower,congRight,1,0.388030833333333,0.3776975,6
10,4,lower,incongLeft,0.833333333333333,0.472388,0.452005,5
10,4,lower,incongRight,1,0.445174166666667,0.447425,6
10,4,upper,congLeft,1,0.39159,0.3939825,6
10,4,upper,congRight,1,0.378740833333333,0.3844375,6
10,4,upper,incongLeft,1,0.451053333333333,0.4352625,6
10,4,upper,incongRight,1,0.468196666666667,0.461195,6
10,7,blank,congLeft,1,0.454274090909091,0.451535,11
10,7,blank,congRight,1,0.46184,0.4604725,12
10,7,blank,incongLeft,1,0.519758125,0.5181575,8
10,7,blank,incongRight,1,0.545689545454545,0.54821,11
10,7,centre,congLeft,1,0.418829166666667,0.4176675,12
10,7,centre,congRight,1,0.430417916666667,0.43139,12
10,7,centre,incongLeft,0.916666666666667,0.536311818181818,0.53131,11
10,7,centre,incongRight,1,0.525680416666667,0.5176275,12
10,7,lower,congLeft,1,0.394701666666667,0.3860475,6
