ID,load,frequency,HR,FAR,Acc,Acc_bsl,K,K_bsl,K_bsl_ave,RT,RT_bsl,RT_CoV,gender,age,country,response_key,dPrime,criterion
11,6,4,0.4,0.133333333333333,0.633333333333333,-0.05,1.84615384615385,-0.323076923076923,-0.294667705666258,0.645247333333333,-0.0342052173340364,0.263056359725823,Female,34,United Kingdom,f,0.857424513500986,0.682059359886293
11,7,4,0.4,0.2,0.6,0,1.75,-0.333333333333333,-0.331403762662807,0.640038333333333,0.122804668248635,0.214050224312609,Female,34,United Kingdom,f,0.588274130437115,0.547484168354357
11,5,7,0.6,0.133333333333333,0.733333333333333,0.1,2.69230769230769,0.076923076923077,0.028609595903373,0.7326845,0.0937328097675226,0.214812251259657,Female,34,United Kingdom,f,1.36411871977259,0.428712256750493
11,6,7,0.6,0.0666666666666667,0.766666666666667,0.15,3.42857142857143,0.257142857142857,0.309902832334091,0.8763015,0.311632567887184,0.225167464000508,Female,34,United Kingdom,f,1.75443304917982,0.623869421454113
11,7,7,0.4,0.133333333333333,0.633333333333333,0.0555555555555555,2.15384615384615,-0.179487179487179,-0.177112323277301,0.861996,0.512179946740144,0.359898271811195,Female,34,United Kingdom,f,0.857424513500986,0.682059359886293
12,5,0,0.533333333333333,0,0.766666666666667,0,2.66666666666667,0,-0.309734513274336,0.998164,0,0.225686892356225,Male,29,Poland,j,Inf,Inf
12,6,0,0.8,0.133333333333333,0.833333333333333,0,4.61538461538462,1.92438657601694e-16,0.194690265486726,0.967516666666667,0,0.231679947611455,Male,29,Poland,j,1.9523928502097,0.134575191531936
12,7,0,0.666666666666667,0.133333333333333,0.766666666666667,0,4.30769230769231,0,0.11504424778761,0.952565833333333,0,0.184953960677394,Male,29,Poland,j,1.54149891593224,0.340022158670664
12,5,4,0.8,0,0.9,0.173913043478261,4,0.5,0.0353982300884954,0.938195333333333,-0.060078971658632,0.28532520251726,Male,29,Poland,j,Inf,Inf
12,6,4,0.733333333333333,0.266666666666667,0.733333333333333,-0.12,3.81818181818182,-0.172727272727273,-0.0116653258246182,0.9898825,0.0231167421749837,0.279410527610556,Male,29,Poland,j,1.24585144642018,5.55111512312578e-17
