ID,version,Load,frequency,jitter,HR,FAR,Acc,RT,K,K_C,dPrime,criterion,Acc_bsl,K_bsl,Acc_bsl_W,K_bsl_W,K_bsl_C
S02,ChD_v5_MB,6,4,false,0.6,0.235294117647059,0.666666666666667,0.66261887346183,2.86153846153846,2.18823529411765,0.974869387118143,0.234087590423272,-0.176470588235294,-0.309983633387889,-0.142857142857143,-1.37266633148986,-0.441301627033792
S02,ChD_v5_MB,7,4,false,0.526315789473684,0.0434782608695652,0.761904761904762,0.67380158228449,3.53349282296651,3.37986270022883,1.77768711888557,0.822831747066944,-0.0303030303030303,-0.242822966507177,-0.0238095238095238,-0.700711970061815,-0.130892448512586
S02,ChD_v5_MB,5,4,true,0.842105263157895,0.0869565217391304,0.880952380952381,0.580745274478059,4.13533834586466,3.77574370709382,2.36288535160114,0.178294708138036,0.0571428571428571,0.0633727175080558,0.0476190476190476,-0.0988664471636609,0.132723112128146
S02,ChD_v5_MB,6,4,true,0.695652173913043,0.105263157894737,0.785714285714286,0.544808350809738,3.95907928388747,3.54233409610984,1.76405573413655,0.370091653196945,-0.0294117647058824,-0.0453283996299721,-0.0238095238095238,-0.275125509140854,-0.0955742733336581
S02,ChD_v5_MB,7,4,true,0.571428571428571,0.142857142857143,0.714285714285714,0.607403817578126,3.5,3,1.24758289367085,0.443779077042718,-0.0909090909090909,-0.25,-0.0714285714285714,-0.734204793028323,-0.228571428571429
S02,ChD_v5_MB,5,7,false,0.681818181818182,0,0.833333333333333,0.574796645351654,3.40909090909091,3.40909090909091,Inf,Inf,0,-0.123376623376623,0,-0.825113883937413,0.0227272727272724
S02,ChD_v5_MB,6,7,false,0.523809523809524,0.0476190476190476,0.738095238095238,0.635248831804652,3,2.85714285714286,1.7281082937324,0.804337047080878,-0.088235294117647,-0.276595744680851,-0.0714285714285714,-1.23420479302832,-0.270516717325228
S02,ChD_v5_MB,7,7,false,0.75,0.136363636363636,0.80952380952381,0.632388014567633,4.97368421052632,4.29545454545455,1.7712933122896,0.211156905948716,0.0303030303030303,0.0657894736842107,0.0238095238095238,0.739479417497994,0.104545454545455
S02,ChD_v5_MB,5,7,true,0.727272727272727,0.05,0.833333333333333,0.635487850996564,3.56459330143541,3.38636363636364,2.24943897353471,0.520134140184118,0,-0.0833902939166097,0,-0.669611491592915,0.0159090909090907
S02,ChD_v5_MB,6,7,true,0.5,0.15,0.666666666666667,0.677845593677925,2.47058823529412,2.1,1.03643338949379,0.518216694746895,-0.176470588235294,-0.404255319148936,-0.142857142857143,-1.7636165577342,-0.463829787234043
S02,ChD_v5_MB,7,7,true,0.421052631578947,0.173913043478261,0.642857142857143,0.622157580235677,2.09418282548476,1.72997711670481,0.739612992087636,0.569007820833085,-0.181818181818182,-0.551246537396122,-0.142857142857143,-2.14002196754356,-0.555148741418764
S03,ChD_v5_MB,5,0,true,0.894736842105263,0.173913043478261,0.833333333333333,0.836570139886388,4.36288088642659,3.60411899313501,2.19093383714212,-0.156652601694158,0,0,0,0.242886774525942,0
S03,ChD_v5_MB,6,0,true,0.652173913043478,0.0526315789473684,0.785714285714286,0.946605140688068,3.79710144927536,3.59725400457666,2.01105251682774,0.614330000224399,0,0,0,-0.322892662625289,0
S03,ChD_v5_MB,7,0,true,0.619047619047619,0.0476190476190476,0.785714285714286,0.886389430158999,4.2,4,1.97137164200329,0.682705372945436,0,0,0,0.0800058880993486,0
S03,ChD_v5_MB,5,4,false,0.814814814814815,0,0.880952380952381,0.768336381846443,4.07407407407407,4.07407407407407,Inf,Inf,0.0571428571428571,-0.0661963550852442,0.0476190476190476,-0.0459200378265781,0.130393885949441
S03,ChD_v5_MB,6,4,false,0.8125,0,0.928571428571429,0.791185964006166,4.875,4.875,Inf,Inf,0.181818181818182,0.283874045801527,0.142857142857143,0.755005888099348,0.355200381679389
S03,ChD_v5_MB,7,4,false,0.75,0.0454545454545455,0.857142857142857,0.82688682103066,5.16666666666667,4.93181818181818,2.36511137978098,0.508065939694408,0.0909090909090909,0.23015873015873,0.0714285714285714,1.04667255476602,0.232954545454545
S03,ChD_v5_MB,5,4,true,0.8,0.0454545454545455,0.880952380952381,0.884008841054259,3.95238095238095,3.77272727272727,2.53224286315781,0.424500198005992,0.0571428571428571,-0.0940891912320484,0.0476190476190476,-0.167613159519699,0.046782106782107
S03,ChD_v5_MB,6,4,true,0.736842105263158,0.0434782608695652,0.857142857142857,0.858067804414099,4.34928229665072,4.16018306636156,2.34531530728943,0.539017652865014,0.0909090909090909,0.145421673545418,0.0714285714285714,0.229288184750065,0.156488549618321
S03,ChD_v5_MB,7,4,true,0.541666666666667,0,0.738095238095238,0.878534474354993,3.79166666666667,3.79166666666667,Inf,Inf,-0.0606060606060605,-0.0972222222222223,-0.0476190476190476,-0.328327445233985,-0.0520833333333334
S03,ChD_v5_MB,5,7,false,0.875,0,0.952380952380952,0.702407874645325,4.375,4.375,Inf,Inf,0.142857142857143,0.00277777777777771,0.119047619047619,0.255005888099348,0.213888888888889
S03,ChD_v5_MB,6,7,false,0.666666666666667,0,0.80952380952381,0.761440323777164,4,4,Inf,Inf,0.0303030303030303,0.0534351145038168,0.0238095238095238,-0.119994111900652,0.111959287531806
