ID,version,Load,frequency,HR,FAR,Acc,RT,K,dPrime,criterion,Acc_bsl,K_bsl
S11,ChD_entr_4_BB,4,0,0.916666666666667,0.0416666666666667,0.9375,0.731463326040936,3.65217391304348,3.11465852322288,0.174335134510804,0,0
S11,ChD_entr_4_BB,5,0,0.791666666666667,0.208333333333333,0.791666666666667,0.732255408082089,3.68421052631579,1.62443560299983,-0,0,0
S11,ChD_entr_4_BB,6,0,0.416666666666667,0.0833333333333333,0.666666666666667,0.77588778170998,2.18181818181818,1.17256573285271,0.796711260674282,0,0
S11,ChD_entr_4_BB,4,4,0.916666666666667,0.0833333333333333,0.916666666666667,0.697350265801879,3.63636363636364,2.76598825420128,1.11022302462516e-16,-0.0222222222222223,-0.0043290043290043
S11,ChD_entr_4_BB,5,4,0.958333333333333,0.0416666666666667,0.958333333333333,0.727296290876204,4.78260869565217,3.46332879224449,-2.22044604925031e-16,0.210526315789474,0.298136645962733
S11,ChD_entr_4_BB,6,4,0.625,0.0833333333333333,0.770833333333333,0.831616323807346,3.54545454545455,1.70163349106501,0.532177381568132,0.15625,0.625
S11,ChD_entr_4_BB,4,7,0.833333333333333,0.125,0.854166666666667,0.783026176973529,3.23809523809524,2.11777094647771,0.0914639071371535,-0.0888888888888889,-0.113378684807256
S11,ChD_entr_4_BB,5,7,0.833333333333333,0.0416666666666667,0.895833333333333,0.828042319061638,4.1304347826087,2.69908596222395,0.382121415010272,0.131578947368421,0.12111801242236
S11,ChD_entr_4_BB,6,7,0.541666666666667,0.125,0.708333333333333,0.811979013272609,2.85714285714286,1.25498283599008,0.522857962380966,0.0625000000000001,0.309523809523809
S12,ChD_entr_4_BB,4,0,0.958333333333333,0.0416666666666667,0.958333333333333,0.778795936307094,3.82608695652174,3.46332879224449,-2.22044604925031e-16,0,0
S12,ChD_entr_4_BB,5,0,1,0.0416666666666667,0.979166666666667,0.798536193240264,5,Inf,-Inf,0,0
S12,ChD_entr_4_BB,6,0,0.916666666666667,0.125,0.895833333333333,0.888522598228628,5.42857142857143,2.53334350747665,-0.116322373362315,0,0
S12,ChD_entr_4_BB,4,4,1,0,0.979166666666667,0.949917270295976,4,Inf,NaN,0.0217391304347825,0.0454545454545454
