version,block,frequency,jitter,trial,change,response,RT,loads,ID,gender,hand,age,fixCrossFrameB,targetFrameB,fixCrossFrameA,targetFrameA,resp_type
ChD_entr_4,2,7,false,36,1,Correct,0.683512653907586,4,S01,M,R,20,1,9,14,6,1
ChD_entr_4,2,7,false,37,1,Wrong,1.87706230151554,6,S01,M,R,20,14,7,1,8,2
ChD_entr_4,2,7,false,38,0,Correct,0.876019978919566,4,S01,M,R,20,8,1,7,14,4
ChD_entr_4,2,7,false,39,0,Correct,0.731718845146911,6,S01,M,R,20,1,9,14,6,4
ChD_entr_4,2,7,false,40,0,Correct,0.587256943401654,4,S01,M,R,20,9,2,6,13,4
ChD_entr_4,2,7,false,41,0,Correct,0.847145484434113,6,S01,M,R,20,2,10,13,5,4
ChD_entr_4,2,7,false,42,1,Correct,0.56800853196686,6,S01,M,R,20,13,6,2,9,1
ChD_entr_4,3,0,true,1,1,Correct,0.625761616936967,6,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,2,1,Wrong,0.587260356734361,5,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,3,1,Correct,0.52950693043112,6,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,4,0,Correct,0.606510816169097,5,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,5,0,Correct,0.539132330814828,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,6,0,Correct,0.529508978430607,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,7,1,Wrong,0.760517563645193,5,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,8,1,Wrong,0.548758413865486,4,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,9,1,Wrong,0.48138061117794,4,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,10,0,Correct,0.548812003189611,5,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,11,0,Correct,0.56800955596649,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,12,0,Correct,0.904898228071086,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,13,1,Correct,0.606511840168954,4,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,14,0,Correct,0.587259332734503,5,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,15,1,Correct,0.548759779198477,4,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,16,1,Correct,0.510257153662879,5,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,17,1,Wrong,0.596884391785304,6,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,18,1,Correct,0.548835555185648,6,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,19,0,Correct,0.500631753279172,5,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,20,0,Correct,0.664260829139631,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,21,1,Correct,0.606510474835735,4,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,22,1,Wrong,2.27170542392301,5,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,23,0,Correct,0.558384155582783,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,24,1,Wrong,0.693139760957874,6,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,25,1,Wrong,0.702763454675456,4,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,26,0,Correct,0.577631884351081,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,27,0,Correct,0.596884050451943,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,28,0,Correct,0.375500182954569,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,29,1,Correct,0.616136557886393,6,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,30,0,Correct,1.00115939990898,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,31,0,Correct,0.779767681746567,5,S01,M,R,20,1,1,0,0,4
