ID,Load,frequency,HR,FAR,Acc,RT,K,gender,dPrime,criterion,Acc_bsl,K_bsl,K_bsl_ave,HR_bsl,FAR_bsl,rP_mean_raw,rP_mean,rP_trial_var,rP_mean_bsl,rP_trial_CoV,rP_mean_bslSub_del,rP_trial_var_del,rP_trial_CoV_del,rP_mean_bslSub_del_raw
S02,7,7,0.588235294117647,0.153846153846154,0.7,1.11937917928223,3.59358288770053,F,1.24308406372657,0.398534200922917,0.05,0.314725446719708,0.0427160961273794,-0.0809963166915868,0.362714614032716,3.03889596524293,0.0342664248331897,0.651485964466552,0.255441889461932,23.5550340810054,0.241976088375848,0.95904862608713,4.04713658848076,0.062787204295505
S03,5,0,0.894736842105263,0.181818181818182,0.833333333333333,0.969723925147555,4.35672514619883,F,2.1605773888026,-0.171830825863917,0,0,0.154572265845137,0.343605300973974,1.3265306122449,2.27291863708454,0.0476203031945786,1.26275423760645,0,23.5975688074802,-0.636497061072271,1.09729094403408,-1.64575239122476,-0.100426315187304
S03,6,0,0.636363636363636,0.0526315789473684,0.833333333333333,1.09746581868554,3.6969696969697,F,1.96861195415531,0.635550281560613,0,0,-0.0202690010143895,-0.0443876736388314,-0.326530612244898,2.21655507528233,0.210702566987256,0.791915083399059,0,4.22347065310881,-0.809557063342443,0.868826596294948,-1.15138107598511,-0.123169825013246
S03,7,0,0.466666666666667,0,0.733333333333333,1.13461540253871,3.26666666666667,F,Inf,Inf,0,0,-0.134303264830747,-0.299217627335143,-1,2.18899712951927,0.0295727355428092,1.04956612188411,0,34.6428331729843,-0.677859997980186,0.519620352664686,-1.0634157069483,-0.103132813133621
S03,5,4,1,0,1,0.947106836491342,5,F,Inf,NaN,0.2,0.147651006711409,0.325046023218244,0.501676512853265,-1,2.20827490379529,0.156279567585439,0.35188690123805,0.10865926439086,3.79576528469568,-0.260381295727542,0.824504719823119,-3.48727976023043,-0.0396156368509351
S03,6,4,0.916666666666667,0.0555555555555556,0.933333333333333,1.09978985351503,5.47058823529412,F,2.97621294512369,0.105112345461206,0.12,0.479749276759885,0.449756237168196,0.376536803448826,-0.289115646258503,2.12937589083869,0.17599803008503,0.568729167399798,-0.0347045369022261,4.28494196258702,-0.497853723652777,0.605202806037328,-1.56260319061626,-0.0729404102486552
S03,7,4,0.6,0.2,0.666666666666667,1.1721536115357,3.5,F,1.09496833670871,0.294137065218557,-0.0909090909090909,0.0714285714285713,-0.0724677837472293,-0.098994092288041,1.55918367346939,2.16075755119348,0.390193102593952,0.558817833752335,0.360620367051143,1.91582369611572,-1.0456161580227,1.02510993943208,-0.968306698932521,-0.15319293178972
S03,5,7,0.941176470588235,0.0769230769230769,0.933333333333333,0.932226271742353,4.68137254901961,F,2.99080334363465,-0.0693247995444757,0.12,0.0745163837347019,0.240606815856297,0.413342600332485,-0.0156985871271585,2.33936281545989,-0.0425275734902775,0.666081488002915,-0.0901478766848561,-19.19079994441,-0.358815400812453,0.55700962471952,-2.07998534244945,-0.0586357071415335
S03,6,7,0.769230769230769,0.117647058823529,0.833333333333333,1.0414312856371,4.43076923076923,F,1.92314735013195,0.225257757689844,0,0.198486759142497,0.174194629805705,0.155135779117896,0.505402160864346,2.33494422909803,-0.0695666749822498,0.743062417646104,-0.280269241969506,-12.3911439384322,-0.795730995694168,0.714706889006647,-1.06242359906632,-0.130034133209772
S03,7,7,0.533333333333333,0.133333333333333,0.7,0.958085038084362,3.23076923076923,F,1.19442335054391,0.513559941364828,-0.0454545454545454,-0.0109890109890109,-0.143816415766673,-0.199105859811592,0.706122448979592,2.22083021401335,0.238801728093453,0.761216755609352,0.209228992550644,3.6535638740285,-0.485925427243785,0.996204754995939,-2.05402005663491,-0.0739309834392575
